interest_rate,debt_to_income,term,loan_amount,verified_income,application_type,grade,balance,paid_total,paid_interest,paid_principal,paid_late_fees
18.06,16.56,36,8000,Verified,individual,D,7128.82,1458.02,586.84,871.18,0
9.93,8.46,60,14500,Not Verified,individual,B,13546.33,1529.95,576.28,953.67,0
12.62,19.97,36,24000,Verified,individual,C,21757.45,3200.25,957.7,2242.55,0
10.91,17.44,36,10000,Not Verified,individual,B,9042.83,1301.82,344.65,957.17,0
13.58,12.73,36,6000,Verified,individual,C,5587.52,602.5,190.02,412.48,0
12.61,15.65,60,20000,Verified,individual,C,19269.64,1325.22,594.86,730.36,0
13.58,14.76,60,16000,Source Verified,individual,C,15430.34,1082.32,512.66,569.66,0
7.97,15.38,36,40000,Source Verified,individual,A,36011.51,4993.93,1005.44,3988.49,0
19.42,3.15,36,18000,Not Verified,individual,D,16864.81,1971.5,836.31,1135.19,0
13.59,17.83,36,2800,Source Verified,individual,C,2541.9,378.49,120.39,258.1,0
6.72,18.2,36,12000,Not Verified,individual,A,10474,1836.04,310.04,1526,0
20.39,23.2,36,30000,Source Verified,individual,D,28135.28,3294.67,1429.95,1864.72,0
12.62,18.71,36,16000,Verified,individual,C,14121.33,2669.68,791.01,1878.67,0
18.45,32.96,36,20000,Not Verified,individual,D,18720.28,2141.74,862.02,1279.72,0
7.34,7.89,60,20000,Not Verified,joint,A,19164.16,1189.59,353.75,835.84,0
16.02,11.05,60,16000,Not Verified,individual,C,15097.93,1896.46,994.39,902.07,0
15.04,28.23,60,12800,Source Verified,individual,C,12361.49,903.64,465.13,438.51,0
25.81,19.94,60,30000,Verified,individual,E,29234.98,2641.53,1876.51,765.02,0
13.58,26.45,60,13650,Not Verified,joint,C,13164.01,933.65,447.66,485.99,0
5.32,15.91,36,7000,Not Verified,individual,A,6093.1,1036.47,129.57,906.9,0
10.42,29.31,36,20000,Verified,individual,B,0,1918.96,479.63,1439.33,0
16.01,15.36,60,35000,Not Verified,individual,C,33431.51,3374.15,1805.66,1568.49,0
15.05,10.87,36,7000,Not Verified,individual,C,6045.93,1358.3,404.23,954.07,0
6.71,18.67,36,25000,Verified,joint,A,23738.83,1546.56,285.39,1261.17,0
7.96,5.3,36,36000,Source Verified,joint,A,34216.81,2223.06,439.87,1783.19,0
20.39,35.75,60,15000,Source Verified,individual,D,14705.91,784.37,490.28,294.09,0
9.44,20.34,36,15000,Not Verified,individual,B,13534.5,1904.59,439.09,1465.5,0
16.01,43.38,60,30000,Verified,joint,C,29336.68,1432.74,769.42,663.32,0
10.42,11.15,36,15000,Not Verified,individual,B,13185.1,2417.53,602.63,1814.9,0
6.72,17.93,36,27000,Not Verified,individual,A,23566.61,4141.07,707.68,3433.39,0
12.61,12.71,36,3100,Not Verified,individual,C,2883.86,309.44,93.3,216.14,0
20.39,20.09,60,11200,Verified,individual,D,10867.83,884.82,552.65,332.17,0
20.39,16.53,60,10000,Not Verified,individual,D,9601.16,1045.82,646.98,398.84,0
17.09,38.2,60,10000,Source Verified,individual,D,9451.63,1226.06,677.69,548.37,0
10.41,20.16,36,19000,Verified,individual,B,18092.23,1211.52,303.75,907.77,0
7.96,33.05,36,15000,Not Verified,individual,A,13881.81,1402.68,284.49,1118.19,0
12.62,17.35,60,19425,Not Verified,individual,C,0,19844.0710927972,419.07,19425,0
11.99,25.22,36,15000,Source Verified,individual,B,13225.26,2542.22,767.48,1774.74,0
11.98,12.44,60,30000,Verified,individual,B,28886.33,2020.6,906.93,1113.67,0
18.06,11.79,36,20000,Verified,individual,D,17822.13,3578.17,1400.3,2177.87,0
9.93,20.05,36,15000,Source Verified,individual,B,13173.04,2409.32,582.36,1826.96,0
11.99,24.22,36,6000,Source Verified,joint,B,5289.39,992.3,281.69,710.61,0
13.58,18.12,60,14000,Verified,individual,C,13501.53,904.8,406.33,498.47,0
5.32,6.57,36,15000,Source Verified,individual,A,13448.8,1802.49,251.29,1551.2,0
10.41,16.1,60,20000,Not Verified,individual,B,19226.86,1263.84,490.7,773.14,0
15.05,19.43,36,7000,Source Verified,individual,C,6205.12,1208.3,413.42,794.88,0
9.93,21.04,36,20000,Not Verified,joint,B,16357.58,4277.93,635.51,3642.42,0
18.06,26.2,36,4900,Source Verified,individual,D,4476.33,699.37,275.7,423.67,0
21.45,25.95,36,10000,Not Verified,individual,D,9176.98,1504.36,681.34,823.02,0
7.34,7.52,36,20000,Verified,joint,A,18495.85,1898.69,394.54,1504.15,0
11.98,27.39,36,6000,Verified,individual,B,5577.82,593.7,171.52,422.18,0
20,29.41,60,35000,Source Verified,individual,D,33221.93,4558.67,2780.6,1778.07,0
13.59,36.58,36,34450,Verified,individual,C,31274.83,4656.31,1481.14,3175.17,0
16.02,17.8,36,16000,Not Verified,individual,C,14575.47,2236.48,811.95,1424.53,0
20,43.36,36,12000,Verified,joint,D,11249.72,1311.24,560.96,750.28,0
9.44,18.37,60,40000,Verified,joint,B,37337.22,4173.57,1510.79,2662.78,0
10.9,29.36,60,34200,Not Verified,individual,B,32894.49,2204.96,899.45,1305.51,0
5.31,22.14,36,11200,Not Verified,individual,A,10132.15,1205.11,137.26,1067.85,0
5.32,6.75,36,35000,Verified,individual,A,30465.71,5327,792.71,4534.29,0
12.62,38.82,36,6000,Not Verified,individual,C,5439.35,831.62,270.97,560.65,0
15.04,2.2,36,5000,Source Verified,individual,C,4663.53,516.11,179.64,336.47,0
11.98,13.01,36,16000,Source Verified,individual,B,14332.25,2114.47,446.72,1667.75,0
9.44,21.78,36,9000,Source Verified,individual,B,8120.69,1142.76,263.45,879.31,0
29.69,11.68,60,26000,Verified,joint,F,25406.66,2422.98,1829.64,593.34,0
12.62,13.74,36,16000,Source Verified,individual,C,0,16633.2502588223,633.25,16000,0
11.98,16.12,36,8000,Source Verified,individual,B,7173.35,970.63,143.98,826.65,0
18.06,34.11,36,20325,Verified,individual,D,18567.75,2921.25,1164,1757.25,0
16.02,6.93,36,5000,Verified,individual,C,4439.79,859.18,298.97,560.21,0
6.07,4.84,36,12000,Source Verified,individual,A,11081.12,1092.3,173.42,918.88,0
11.99,20.58,36,7325,Not Verified,individual,B,6634.45,968.16,277.61,690.55,0
15.05,15.96,36,10000,Not Verified,individual,C,8628.72,2014.52,643.24,1371.28,0
10.91,7.72,60,40000,Source Verified,individual,B,37955.35,3447.4,1402.75,2044.65,0
7.96,7.45,36,10000,Source Verified,joint,A,9254.54,930.7,185.24,745.46,0
13.59,4.5,60,10000,Verified,individual,C,9522.69,914.73,437.42,477.31,0
12.61,11.93,36,28775,Source Verified,individual,C,26768.75,2872.29,866.04,2006.25,0
17.09,27.23,36,16800,Source Verified,joint,D,15327.07,2382.93,910,1472.93,0
12.62,13.89,36,10000,Source Verified,joint,C,9408.15,980.71,372.1,591.85,16.76
13.58,0,36,6000,Source Verified,individual,C,5587.52,602.5,190.02,412.48,0
20,14.05,60,35000,Verified,individual,D,33589.39,3670.27,2259.66,1410.61,0
5.31,24.33,36,10000,Not Verified,individual,A,9485.14,596.32,81.46,514.86,0
17.47,22.24,36,1500,Source Verified,individual,D,1402.59,158.61,61.2,97.41,0
11.98,7.06,36,29000,Source Verified,individual,B,24324.88,5732.46,1057.34,4675.12,0
21.85,30,60,20000,Not Verified,individual,D,20000,0,0,0,0
9.92,23.96,60,15000,Source Verified,individual,B,14412.81,946.09,358.9,587.19,0
9.43,27.24,36,5000,Source Verified,individual,B,4634.99,477.41,112.4,365.01,0
21.85,0,36,2500,Source Verified,individual,D,2399.56,187.55,87.11,100.44,0
12.62,15.68,36,8000,Not Verified,individual,C,7252.48,1066.75,319.23,747.52,0
10.91,13.23,36,11600,Verified,individual,B,10489.71,1510.09,399.8,1110.29,0
19.03,11.18,60,30000,Source Verified,joint,D,28436.34,3830.17,2266.51,1563.66,0
19.03,26.43,60,18000,Verified,individual,D,17445.97,1382.66,828.63,554.03,0
9.44,21.04,36,9000,Not Verified,individual,B,7896.52,1435.53,332.05,1103.48,0
11.99,9.62,36,14000,Not Verified,individual,B,12341.91,2315.37,657.28,1658.09,0
7.97,7.8,36,12000,Source Verified,individual,A,7872.99,4439.37,312.36,4127.01,0
10.91,12.59,60,13000,Source Verified,individual,B,12336.2,1108.58,444.78,663.8,0
13.59,22.18,36,8000,Source Verified,individual,C,7073.04,1347.12,420.16,926.96,0
15.04,10.64,60,20000,Source Verified,individual,C,19314.82,1395.24,710.06,685.18,0
7.97,7.24,36,5000,Source Verified,individual,A,0,5088.637864413,88.64,5000,0
13.58,35.67,36,8000,Verified,individual,C,7450.02,803.33,253.35,549.98,0
5.31,24.67,36,16000,Source Verified,individual,A,15176.24,954.1,130.34,823.76,0
19.03,30.1,60,35000,Source Verified,joint,D,33552.17,3651.38,2203.55,1447.83,0
11.99,20.81,36,15000,Source Verified,individual,B,13948.09,1555.91,504,1051.91,0
9.93,14.33,60,20000,Source Verified,individual,B,18684.61,2110.27,794.88,1315.39,0
5.32,17.05,36,11000,Source Verified,individual,A,9862.45,1316.95,179.4,1137.55,0
15.04,22.4,60,10000,Source Verified,individual,C,9773.03,467.86,240.89,226.97,0
10.42,21.33,36,36000,Source Verified,individual,B,32530.58,4654.12,1184.7,3469.42,0
12.61,8.76,36,8000,Source Verified,individual,C,7630.08,558.54,188.62,369.92,0
7.35,0.4,36,40000,Verified,individual,A,34956.09,6191.17,1147.26,5043.91,0
23.87,9.68,36,9600,Not Verified,individual,E,9033.8,1115.24,549.04,566.2,0
16.02,1.71,36,5000,Source Verified,individual,C,4439.78,876.69,316.47,560.22,0
6.72,9.71,36,13000,Not Verified,individual,A,11681.17,1594.15,275.32,1318.83,0
10.42,1.7,36,7200,Source Verified,individual,B,6328.85,1164.58,293.43,871.15,0
21.45,35.77,36,12800,Verified,individual,D,11471.29,2387.92,1059.21,1328.71,0
16.02,18.37,60,20000,Not Verified,individual,C,18872.39,2397.3,1269.69,1127.61,0
7.96,30.15,36,17000,Not Verified,joint,A,15732.7,1589.71,322.41,1267.3,0
12.61,20.4,36,6025,Source Verified,individual,C,5604.91,573.99,153.9,420.09,0
12.61,3.77,60,21000,Verified,individual,C,20491.41,932.57,423.98,508.59,0
9.43,27.19,60,32000,Verified,joint,B,31157.7,1308.41,466.11,842.3,0
14.07,31.32,36,10000,Verified,individual,C,9547.62,676.42,224.04,452.38,0
13.59,2.09,36,6200,Source Verified,individual,C,5481.64,1048.67,330.31,718.36,0
17.47,22.78,60,30000,Source Verified,joint,D,29036.82,2230.42,1267.24,963.18,0
12.61,21.9,36,2200,Source Verified,individual,C,2098.26,145.9,44.16,101.74,0
16.02,32,36,10000,Not Verified,joint,C,9109.69,1437.83,547.52,890.31,0
18.45,33.7,60,30000,Verified,individual,D,29379.43,1476.84,856.27,620.57,0
10.91,13.68,36,10000,Not Verified,individual,B,9285.38,974.85,260.23,714.62,0
7.97,24.75,60,27000,Source Verified,individual,A,25136.64,2723.44,860.08,1863.36,0
15.04,22.17,36,20000,Verified,individual,C,0,20677.903182665,677.9,20000,0
21.45,20.27,60,12000,Source Verified,individual,D,11413.45,1609.85,1023.3,586.55,0
16.01,37.4,36,5000,Verified,individual,C,4668.31,518.54,186.85,331.69,0
11.98,17.83,36,6000,Not Verified,individual,B,4894.78,1235.55,130.33,1105.22,0
13.59,25.73,36,15000,Source Verified,individual,C,13617.47,2027.44,644.91,1382.53,0
6.71,11.85,36,3500,Source Verified,individual,A,3134.01,421.53,55.54,365.99,0
10.91,19.31,36,7325,Not Verified,individual,B,6444.62,1193.06,312.68,880.38,0
7.96,9.91,36,12000,Not Verified,individual,A,11105.43,1122.15,227.58,894.57,0
10.42,31.96,36,12000,Not Verified,individual,B,10548.1,1930.53,478.63,1451.9,0
7.35,8.93,36,5000,Not Verified,individual,A,4369.5,773.91,143.41,630.5,0
16.02,37.28,36,5000,Not Verified,individual,C,4439.79,874.75,314.54,560.21,0
16.01,19.25,36,18000,Not Verified,individual,C,15164.27,3398.61,562.88,2835.73,0
13.58,5.58,36,3000,Source Verified,individual,C,2863.27,201.6,64.87,136.73,0
10.42,8.66,36,5000,Source Verified,individual,B,4518.12,643.53,161.65,481.88,0
14.07,27.43,60,40000,Source Verified,individual,C,38594.07,2765.3,1359.37,1405.93,0
7.97,23.93,36,3500,Not Verified,individual,A,3151.01,436.97,87.98,348.99,0
11.99,11.13,36,40000,Verified,individual,B,35262.66,6615.31,1877.97,4737.34,0
13.59,21.53,36,32000,Source Verified,joint,C,29800.49,3419.03,1219.52,2199.51,0
7.34,0.95,36,6000,Not Verified,individual,A,1482.33,4556.15,38.48,4517.67,0
15.04,34.27,36,12000,Not Verified,joint,C,11192.5,1262.58,455.08,807.5,0
12.62,27.58,60,25000,Not Verified,individual,C,23462.69,2802.37,1265.06,1537.31,0
19.42,9.44,36,25000,Source Verified,individual,D,22880.7,3659.91,1540.61,2119.3,0
9.43,11.02,36,5500,Not Verified,individual,B,5098.49,529.48,127.97,401.51,0
16.02,50.91,36,10400,Verified,joint,C,9234.8,1819.44,654.24,1165.2,0
7.34,11.86,36,9000,Not Verified,individual,A,8550.13,551.26,101.39,449.87,0
14.07,45.75,60,19800,Verified,joint,C,19104.04,1446.23,750.27,695.96,0
5.31,13.15,36,25000,Not Verified,joint,A,23065.06,2243.53,308.59,1934.94,0
6.71,1.5,36,10000,Source Verified,individual,A,9241.17,918.62,159.79,758.83,0
7.35,14.71,60,25000,Not Verified,individual,A,23248.45,2485.64,734.09,1751.55,0
6.08,7.29,36,25000,Source Verified,individual,A,21793.71,3798.86,592.57,3206.29,0
6.71,15.26,36,19000,Not Verified,individual,A,17558.24,1763.08,321.32,1441.76,0
5.32,16,60,40000,Source Verified,individual,A,37650.85,3031.1,681.95,2349.15,0
6.08,6.96,36,14400,Not Verified,individual,A,12553.18,2188.14,341.32,1846.82,0
5.32,24.84,60,27000,Source Verified,individual,A,25013.46,2559.52,572.98,1986.54,0
16.02,31.13,36,4800,Not Verified,individual,C,4372.62,681.65,254.27,427.38,0
21.45,33.1,60,20400,Verified,individual,D,19609.44,2203.97,1413.41,790.56,0
19.03,50.3,60,19200,Not Verified,joint,D,18199.26,2471.6,1470.86,1000.74,0
16.02,32.11,36,5000,Source Verified,individual,C,4554.82,698.91,253.73,445.18,0
21.45,33.01,36,12000,Verified,individual,D,10754.36,2260.1,1014.46,1245.64,0
12.62,1.75,60,30000,Source Verified,individual,C,28155.2,3341.83,1497.03,1844.8,0
10.41,35.32,36,30000,Source Verified,individual,B,28566.69,1930.27,496.96,1433.31,0
28.72,28.61,60,28000,Verified,individual,F,27342.89,2607.35,1950.24,657.11,0
9.43,5.04,36,12800,Source Verified,individual,B,11865.63,1215.42,281.05,934.37,0
10.42,24.19,36,24000,Source Verified,joint,B,21096.21,3861.07,957.28,2903.79,0
10.9,5.39,36,12000,Not Verified,individual,B,11142.36,1169.63,311.99,857.64,0
9.43,9.01,36,13000,Source Verified,joint,B,12051.03,1234.41,285.44,948.97,0
11.98,15.27,36,10000,Source Verified,individual,B,9296.37,989.49,285.86,703.63,0
20,9.23,36,21600,Not Verified,joint,D,19784.27,3162.96,1347.23,1815.73,0
9.43,7.08,36,14000,Source Verified,individual,B,12978.03,1366.04,344.07,1021.97,0
10.41,22.24,36,9600,Not Verified,individual,B,8909.02,929.31,238.33,690.98,0
9.43,12.51,60,40000,Verified,individual,B,38947.13,1635.51,582.64,1052.87,0
9.44,24.86,36,20000,Source Verified,joint,B,18046.03,2549.91,595.94,1953.97,0
16.01,13.9,60,12075,Source Verified,individual,C,11671.84,870.39,467.23,403.16,0
9.93,21.87,60,25000,Source Verified,individual,B,23690.07,2093.7,783.77,1309.93,0
12.62,25.35,36,10000,Verified,individual,C,9065.57,1333.47,399.04,934.43,0
16.01,20.27,36,32000,Verified,individual,C,29877.16,3347.11,1224.27,2122.84,0
21.45,21.52,36,4500,Source Verified,individual,D,4129.65,671.6,301.25,370.35,0
7.96,8.62,36,10000,Source Verified,individual,A,9254.54,930.7,185.24,745.46,0
13.59,13.39,36,23000,Source Verified,individual,C,20335.09,3872.88,1207.97,2664.91,0
13.59,28.6,36,30800,Source Verified,individual,C,27961.27,4162.95,1324.22,2838.73,0
7.34,18.64,36,20000,Source Verified,individual,A,18495.86,1845.67,341.53,1504.14,0
18.45,NA,36,8000,Not Verified,joint,D,7304.16,1155.6,459.76,695.84,0
14.07,34.6,36,7000,Not Verified,individual,C,6522.2,707.53,229.73,477.8,0
12.61,27.27,36,6000,Source Verified,individual,C,5722.56,408.39,130.95,277.44,0
19.03,6.62,60,28000,Source Verified,individual,D,27138.18,2150.8,1288.98,861.82,0
11.98,17.6,36,16000,Source Verified,individual,B,14874.2,1572.54,446.74,1125.8,0
21.85,27.3,36,7325,Source Verified,individual,D,6879.58,828.65,383.23,445.42,0
12.62,20.72,36,15000,Source Verified,individual,C,13598.4,2031.72,630.12,1401.6,0
5.32,21.92,36,25000,Verified,individual,A,22415.59,2996.7,412.29,2584.41,0
19.42,29.03,36,25825,Not Verified,individual,D,24196.31,2800.7,1172.01,1628.69,0
16.01,6.73,60,15600,Source Verified,individual,C,0,15945.6701146245,345.67,15600,0
11.99,29.57,60,10000,Source Verified,individual,B,9502.67,872.95,375.62,497.33,0
20,21.12,36,5000,Source Verified,individual,D,4579.69,732.17,311.86,420.31,0
11.98,8.46,36,13000,Source Verified,individual,B,12085.27,1277.71,362.98,914.73,0
19.03,22.18,60,15000,Verified,individual,D,14379.49,1541.58,921.07,620.51,0
6.08,3.97,36,6000,Not Verified,individual,A,5230.49,911.72,142.21,769.51,0
7.35,9.39,36,1500,Source Verified,individual,A,546.97,982.19,29.16,953.03,0
7.35,12.51,36,8000,Source Verified,individual,A,3195.45,4989.93,185.38,4804.55,0
12.62,10.2,60,30000,Source Verified,joint,C,28155.2,3331.32,1486.52,1844.8,0
13.59,30.71,36,8500,Source Verified,individual,C,7716.55,1148.9,365.45,783.45,0
7.34,36.61,36,7500,Not Verified,individual,A,6935.94,695.19,131.13,564.06,0
7.35,10.37,36,3500,Source Verified,individual,A,3058.61,540.34,98.95,441.39,0
12.61,30.25,36,6500,Not Verified,individual,C,6046.78,648.85,195.63,453.22,0
7.35,17.54,36,23200,Source Verified,individual,A,20274.53,3590.88,665.41,2925.47,0
15.05,10.88,36,10000,Source Verified,joint,C,9097.26,1379.24,476.5,902.74,0
18.45,16.79,60,11200,Verified,individual,D,10729.45,1137.16,666.61,470.55,0
18.45,4.72,60,10000,Not Verified,individual,D,9687.32,758.92,446.24,312.68,0
7.96,19.27,36,30000,Source Verified,individual,A,27763.61,2805.35,568.96,2236.39,0
11.99,17.05,36,8400,Source Verified,individual,B,7405.12,1389.25,394.37,994.88,0
20,20.11,36,7750,Not Verified,individual,D,7098.52,1134.86,483.38,651.48,0
25.82,20.51,36,9100,Not Verified,individual,E,8397.83,1437.01,734.84,702.17,0
11.98,10.65,36,30000,Source Verified,individual,B,27889.12,2968.48,857.6,2110.88,0
13.59,15.47,60,20675,Not Verified,individual,C,19434.49,2367.84,1127.33,1240.51,0
10.91,29.28,36,16000,Source Verified,individual,B,14076.98,2606,682.98,1923.02,0
9.44,9.94,36,25000,Not Verified,individual,B,22149.65,3561.19,710.84,2850.35,0
16.02,15.09,36,12000,Verified,individual,C,0,12117.48,117.48,12000,0
7.97,3.43,36,5000,Source Verified,individual,A,4374.69,780.89,155.58,625.31,0
5.32,22.56,36,12000,Not Verified,individual,A,10759.06,1441.97,201.03,1240.94,0
10.41,4.68,36,30000,Verified,individual,B,27108.4,3877.89,986.29,2891.6,0
12.62,15.16,60,30000,Source Verified,individual,C,28531.92,2580.93,1112.85,1468.08,0
10.9,9.34,60,15000,Not Verified,individual,B,14620,632.61,252.61,380,0
15.05,25.32,36,17325,Verified,individual,C,15760.98,2389.55,825.53,1564.02,0
9.93,9.16,36,20000,Verified,individual,B,17564.06,3135.19,699.25,2435.94,0
10.91,10.99,36,7000,Not Verified,individual,B,0,7242.37,242.37,7000,0
13.58,25.1,60,35000,Verified,individual,C,33753.88,2393.96,1147.84,1246.12,0
15.05,17.08,60,16500,Source Verified,individual,C,15741.74,1620.17,861.91,758.26,0
22.91,22.21,36,14800,Source Verified,individual,E,13607.78,2270,1077.78,1192.22,0
7.35,14.49,36,6000,Source Verified,individual,A,5396.55,746.74,143.29,603.45,0
10.9,14.17,36,40000,Source Verified,individual,B,37141.21,3944.91,1086.12,2858.79,0
17.47,15.62,36,6000,Verified,individual,D,5742.18,424.84,167.02,257.82,0
5.31,15.29,36,15000,Not Verified,individual,A,13448.6,1802.22,250.82,1551.4,0
9.43,14.66,60,30000,Source Verified,individual,B,28810.83,1871.4,682.23,1189.17,0
14.07,19.87,60,19000,Not Verified,individual,C,18332.19,1387.78,719.97,667.81,0
10.41,16.89,36,30000,Source Verified,individual,B,27108.4,3756.44,864.84,2891.6,0
22.9,17.85,36,1000,Source Verified,individual,E,940.14,114.71,54.85,59.86,0
6.72,8.98,36,15000,Source Verified,individual,A,13478.32,1839.36,317.68,1521.68,0
13.58,16.08,36,10000,Verified,individual,C,9312.56,1011.68,324.24,687.44,0
12.62,4.9,60,40000,Source Verified,individual,C,37540.29,4455.76,1996.05,2459.71,0
15.05,25.3,60,28000,Not Verified,individual,C,26379.62,3102.01,1481.63,1620.38,0
19.03,5.04,60,10000,Source Verified,individual,D,9586.3,1027.75,614.05,413.7,0
11.99,7.24,60,20000,Source Verified,individual,B,19005.39,1765.84,771.23,994.61,0
19.03,16.44,36,3000,Source Verified,individual,D,0,3186.9277836324,186.93,3000,0
16.01,28.78,60,35000,Verified,individual,C,33831.46,2491.7,1323.16,1168.54,0
9.43,10.04,36,14000,Verified,individual,B,12978.03,1336.7,314.73,1021.97,0
6.08,12.51,36,35000,Not Verified,individual,A,32320.35,3186.3,506.65,2679.65,0
16.01,5.41,36,35000,Verified,individual,C,32678.16,3738.71,1416.87,2321.84,0
14.07,8.09,36,4000,Not Verified,individual,C,3726.97,407.42,134.39,273.03,0
6.71,21.48,36,12800,Source Verified,individual,A,12154.27,777.54,131.81,645.73,0
15.04,29.46,36,7200,Source Verified,individual,C,6715.48,737.19,252.67,484.52,0
7.35,7.57,36,12000,Not Verified,individual,A,10486.83,1857.35,344.18,1513.17,0
12.62,13.69,60,35000,Verified,individual,C,32847.77,3923.31,1771.08,2152.23,0
7.34,14.54,36,10000,Not Verified,individual,A,9247.93,926.91,174.84,752.07,0
18.45,33.27,36,14900,Verified,individual,D,14269.26,1068.83,438.09,630.74,0
11.98,20.32,60,12600,Source Verified,individual,B,12132.25,832.09,364.34,467.75,0
12.62,13.71,60,20000,Verified,individual,C,19021.27,1769.7,790.97,978.73,0
16.02,21.93,36,15000,Source Verified,individual,C,13319.42,2677.6,997.02,1680.58,0
7.34,18.39,36,6000,Source Verified,individual,A,5548.75,556.15,104.9,451.25,0
21.45,12.56,60,35000,Verified,individual,D,33289.3,4695.33,2984.63,1710.7,0
10.9,20.16,36,24000,Not Verified,individual,B,22284.71,2324.73,609.44,1715.29,0
10.41,28.84,36,10000,Source Verified,individual,B,9280.21,968.05,248.26,719.79,0
15.05,27.72,36,10000,Not Verified,individual,C,9097.26,1379.24,476.5,902.74,0
9.93,16.79,36,6600,Verified,individual,B,5959.57,843.72,203.29,640.43,0
6.08,27.04,36,6500,Source Verified,individual,A,5666.36,985.51,151.87,833.64,0
19.42,29.11,36,5000,Not Verified,individual,D,4684.65,511.48,196.13,315.35,0
18.06,15.37,36,1500,Not Verified,individual,D,1283.6,319.9,103.5,216.4,0
10.91,20.94,36,15000,Source Verified,individual,B,13564.27,1966.35,530.62,1435.73,0
16.02,18.66,36,20000,Source Verified,individual,C,18219.38,2795.56,1014.94,1780.62,0
7.35,10.28,60,40000,Source Verified,joint,A,37197.53,3977.02,1174.55,2802.47,0
6.07,10.51,36,25000,Not Verified,individual,A,23085.67,2275.62,361.29,1914.33,0
14.08,7.73,36,7200,Source Verified,individual,C,6371.38,1226.17,397.55,828.62,0
6.72,24.62,36,8300,Not Verified,individual,A,6948.93,1562.78,211.71,1351.07,0
10.42,0.75,36,4000,Source Verified,individual,B,563.13,3517.12,80.25,3436.87,0
7.34,15.66,60,35000,Source Verified,individual,A,33537.3,2081.77,619.07,1462.7,0
14.08,20.9,36,8000,Verified,individual,C,7079.28,1362.44,441.72,920.72,0
9.92,25.8,36,33000,Verified,individual,B,30607.99,3154.37,762.36,2392.01,0
20.39,15.32,60,20000,Not Verified,individual,D,19406.84,1557.38,964.22,593.16,0
17.47,11.04,36,1800,Source Verified,individual,D,1683.13,190.31,73.44,116.87,0
18.45,47.54,60,20000,Verified,joint,D,19374.64,1517.84,892.48,625.36,0
9.43,21.6,36,5000,Not Verified,individual,B,4634.99,474.79,109.78,365.01,0
7.96,0.46,36,40000,Verified,individual,A,37018.15,3722.78,740.93,2981.85,0
14.08,8.96,60,18000,Source Verified,individual,C,16933.36,2083.82,1017.18,1066.64,0
5.32,0,36,10000,Source Verified,individual,A,8704.48,1498.36,202.84,1295.52,0
7.97,8.54,36,10000,Not Verified,individual,A,8749.42,1528.52,277.94,1250.58,0
9.43,9.06,36,5000,Source Verified,individual,B,4634.99,474.79,109.78,365.01,0
17.09,27.13,36,16000,Verified,joint,D,14597.17,2269.49,866.66,1402.83,0
20.39,26.62,36,10000,Source Verified,individual,D,9378.42,1109.56,487.98,621.58,0
5.31,26.9,36,21800,Source Verified,individual,A,20677.63,1306.39,184.02,1122.37,0
6.72,23.16,36,10000,Source Verified,individual,A,8728.34,1528.17,256.51,1271.66,0
10.41,11.71,36,25000,Source Verified,individual,B,23200.57,2420.07,620.64,1799.43,0
9.44,21.9,36,12800,Not Verified,individual,B,11230.61,2068.5,499.11,1569.39,0
12.62,18.97,60,20050,Verified,individual,C,18817.08,2247.49,1014.57,1232.92,0
11.98,16.99,36,32000,Not Verified,individual,B,30506.39,2103.82,610.21,1493.61,0
7.96,17.02,36,6500,Not Verified,individual,A,6015.44,607.84,123.28,484.56,0
6.72,7.54,36,40000,Verified,individual,A,35943.71,4890.01,833.72,4056.29,0
14.07,34.78,36,15000,Not Verified,individual,C,13976.17,1527.82,503.99,1023.83,0
9.92,19.76,36,12000,Not Verified,individual,B,11130.17,1153.67,283.84,869.83,0
9.44,23.77,36,37200,Source Verified,individual,B,31705.22,7019.32,1524.54,5494.78,0
10.91,22.28,36,5000,Not Verified,individual,B,4399.01,814.42,213.43,600.99,0
14.08,15.88,60,12000,Source Verified,individual,C,11288.91,1389.21,678.12,711.09,0
16.01,32.16,36,21000,Verified,individual,C,19606.87,2177.87,784.74,1393.13,0
18.45,27.17,36,8500,Source Verified,individual,D,7956.13,910.24,366.37,543.87,0
15.05,26.57,36,25000,Not Verified,individual,C,22161.14,4315.35,1476.49,2838.86,0
16.02,8.17,36,16000,Source Verified,individual,C,14207.37,2784.92,992.29,1792.63,0
13.59,10.22,60,26525,Source Verified,individual,C,25259,2296.08,1030.08,1266,0
10.91,22.67,36,2000,Source Verified,individual,B,1759.32,308.47,67.79,240.68,0
16.02,19.83,36,10000,Verified,individual,C,8879.63,1749.45,629.08,1120.37,0
15.05,27.64,60,15000,Source Verified,individual,C,14132.9,1754.9,887.8,867.1,0
10.41,15.82,36,30000,Source Verified,individual,B,27840.7,2886.73,727.43,2159.3,0
9.93,18.12,36,13000,Source Verified,individual,B,11738.55,1658.27,396.82,1261.45,0
18.06,13.41,60,25000,Source Verified,individual,D,23938.7,2479.93,1418.63,1061.3,0
26.3,12.45,36,25000,Source Verified,individual,E,23579.25,2997.28,1576.53,1420.75,0
20.39,18.02,60,21000,Not Verified,joint,D,20377.19,1635.24,1012.43,622.81,0
16.02,26.55,36,32000,Not Verified,joint,C,29150.98,4472.92,1623.9,2849.02,0
